pattern,scenario,status_code,response_time,timestamp,load_phase
choreography,success,200,0.03316617012023926,2025-09-15T14:18:10.237539,single
choreography,success,200,0.030192852020263672,2025-09-15T14:18:10.369009,single
choreography,success,200,0.02797532081604004,2025-09-15T14:18:10.498372,single
choreography,success,200,0.02904987335205078,2025-09-15T14:18:10.628913,single
choreography,success,200,0.014829874038696289,2025-09-15T14:18:10.745148,single
orchestration,success,200,0.08610701560974121,2025-09-15T14:18:10.932731,single
orchestration,success,200,0.01835918426513672,2025-09-15T14:18:11.051502,single
orchestration,success,200,0.022889137268066406,2025-09-15T14:18:11.175246,single
orchestration,success,200,0.03106999397277832,2025-09-15T14:18:11.307568,single
orchestration,success,200,0.02587890625,2025-09-15T14:18:11.434511,single
choreography,stock_failure,200,0.009053945541381836,2025-09-15T14:18:11.544994,single
choreography,stock_failure,200,0.014847993850708008,2025-09-15T14:18:11.660099,single
choreography,stock_failure,200,0.02111506462097168,2025-09-15T14:18:11.782227,single
choreography,stock_failure,200,0.029561281204223633,2025-09-15T14:18:11.913100,single
choreography,stock_failure,200,0.027055025100708008,2025-09-15T14:18:12.041478,single
choreography,stock_failure,200,0.026148319244384766,2025-09-15T14:18:12.168214,single
choreography,stock_failure,200,0.032073020935058594,2025-09-15T14:18:12.301554,single
choreography,stock_failure,200,0.03096485137939453,2025-09-15T14:18:12.433895,single
choreography,stock_failure,200,0.02797389030456543,2025-09-15T14:18:12.562309,single
choreography,stock_failure,200,0.030082225799560547,2025-09-15T14:18:12.693892,single
choreography,payment_failure,200,0.033689022064208984,2025-09-15T14:18:12.829217,single
choreography,payment_failure,200,0.031286001205444336,2025-09-15T14:18:12.961310,single
choreography,payment_failure,200,0.030603885650634766,2025-09-15T14:18:13.093410,single
choreography,payment_failure,200,0.011171102523803711,2025-09-15T14:18:13.206013,single
choreography,payment_failure,200,0.013773679733276367,2025-09-15T14:18:13.321149,single
choreography,payment_failure,200,0.010689020156860352,2025-09-15T14:18:13.433233,single
choreography,payment_failure,200,0.03487420082092285,2025-09-15T14:18:13.569633,single
choreography,payment_failure,200,0.013746023178100586,2025-09-15T14:18:13.684396,single
choreography,payment_failure,200,0.028175830841064453,2025-09-15T14:18:13.813761,single
choreography,payment_failure,200,0.030040740966796875,2025-09-15T14:18:13.944844,single
orchestration,stock_failure,200,0.052345991134643555,2025-09-15T14:18:14.098777,single
orchestration,stock_failure,200,0.03105902671813965,2025-09-15T14:18:14.231158,single
orchestration,stock_failure,200,0.03532600402832031,2025-09-15T14:18:14.367764,single
orchestration,stock_failure,200,0.03203296661376953,2025-09-15T14:18:14.501121,single
orchestration,stock_failure,200,0.028023958206176758,2025-09-15T14:18:14.630511,single
orchestration,stock_failure,200,0.030839920043945312,2025-09-15T14:18:14.762898,single
orchestration,stock_failure,200,0.03203392028808594,2025-09-15T14:18:14.896364,single
orchestration,stock_failure,200,0.03257393836975098,2025-09-15T14:18:15.030467,single
orchestration,stock_failure,200,0.028197765350341797,2025-09-15T14:18:15.159952,single
orchestration,stock_failure,200,0.03212285041809082,2025-09-15T14:18:15.293422,single
