saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-47596149,order-47596149,1,OrderCreated,forward,completed,2025-09-15 10:07:51,2025-09-15 10:07:51,0.0
order-49094ed8,order-49094ed8,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-4a9fee13,order-4a9fee13,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-4afefeec,order-4afefeec,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-4b6f4ef6,order-4b6f4ef6,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-4e5d69c1,order-4e5d69c1,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-4f9b8064,order-4f9b8064,1,OrderCreated,forward,completed,2025-09-15 10:07:51,2025-09-15 10:07:51,0.0
order-51d6e003,order-51d6e003,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-529c5f3a,order-529c5f3a,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:40,2025-09-15 10:07:40,0.0
order-553bbfcc,order-553bbfcc,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-555bf1b8,order-555bf1b8,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-56627483,order-56627483,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-5765f2c6,order-5765f2c6,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-58d1f8c7,order-58d1f8c7,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-59c73c33,order-59c73c33,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-5b48f7a5,order-5b48f7a5,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-5df248bf,order-5df248bf,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-5fe4b58e,order-5fe4b58e,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-60318527,order-60318527,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-60a02fa8,order-60a02fa8,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-617f117f,order-617f117f,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-6182a8ec,order-6182a8ec,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-65439dd0,order-65439dd0,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-66d7b23b,order-66d7b23b,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-679a2efc,order-679a2efc,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-68087072,order-68087072,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-68179cfa,order-68179cfa,1,OrderCreated,forward,completed,2025-09-15 10:07:34,2025-09-15 10:07:34,0.0
order-688e8fab,order-688e8fab,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-69d1534e,order-69d1534e,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-6a08fa1b,order-6a08fa1b,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-6a1159be,order-6a1159be,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-6a44fb74,order-6a44fb74,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-6b1dcf92,order-6b1dcf92,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-6bd21d69,order-6bd21d69,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-6c15db93,order-6c15db93,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-6f6a0563,order-6f6a0563,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-6f6dc6ee,order-6f6dc6ee,1,OrderCreated,forward,completed,2025-09-15 10:08:04,2025-09-15 10:08:04,0.0
order-6f79ada7,order-6f79ada7,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-701a32da,order-701a32da,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-70493059,order-70493059,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-70afa811,order-70afa811,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-7213bd91,order-7213bd91,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-734ebc25,order-734ebc25,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-73bb5446,order-73bb5446,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-74b7ef86,order-74b7ef86,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-77a43ddc,order-77a43ddc,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-77f006f0,order-77f006f0,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-793d79c2,order-793d79c2,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-7a2d421d,order-7a2d421d,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-7a3a9f95,order-7a3a9f95,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-7a6ee652,order-7a6ee652,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-7c9146f7,order-7c9146f7,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-7dc49e60,order-7dc49e60,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-7e659f16,order-7e659f16,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-7f55a8e6,order-7f55a8e6,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-80a56b1c,order-80a56b1c,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-81216883,order-81216883,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-8237da71,order-8237da71,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-8311d686,order-8311d686,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-84228cbe,order-84228cbe,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-84dbe8b7,order-84dbe8b7,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-84decd04,order-84decd04,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-84e5ab51,order-84e5ab51,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-851b89e3,order-851b89e3,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-8825102c,order-8825102c,1,OrderCreated,forward,completed,2025-09-15 10:07:51,2025-09-15 10:07:51,0.0
order-8a60a5b4,order-8a60a5b4,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-8b1943bc,order-8b1943bc,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-8b39f4e6,order-8b39f4e6,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:39,2025-09-15 10:07:39,0.0
