saga_pattern,scenario,status_code,response_time,timestamp,load_phase
single_pessimistic,success,200,0.02028512954711914,2025-09-20T17:40:59.860292,single
single_pessimistic,success,200,0.018170833587646484,2025-09-20T17:40:59.979714,single
single_pessimistic,success,200,0.016865015029907227,2025-09-20T17:41:00.097772,single
single_pessimistic,success,200,0.022633075714111328,2025-09-20T17:41:00.221851,single
single_pessimistic,success,200,0.020073890686035156,2025-09-20T17:41:00.343396,single
single_pessimistic,success,200,0.020601987838745117,2025-09-20T17:41:00.465533,single
single_pessimistic,success,200,0.018554210662841797,2025-09-20T17:41:00.585352,single
single_pessimistic,success,200,0.01963067054748535,2025-09-20T17:41:00.706230,single
single_pessimistic,success,200,0.014622926712036133,2025-09-20T17:41:00.822126,single
single_pessimistic,success,200,0.01528310775756836,2025-09-20T17:41:00.938714,single
single_pessimistic,success,200,0.017541170120239258,2025-09-20T17:41:01.057499,single
single_pessimistic,success,200,0.018667936325073242,2025-09-20T17:41:01.177432,single
single_pessimistic,success,200,0.018362998962402344,2025-09-20T17:41:01.296996,single
single_pessimistic,success,200,0.02003788948059082,2025-09-20T17:41:01.418372,single
single_pessimistic,success,200,0.018211841583251953,2025-09-20T17:41:01.537161,single
single_pessimistic,success,200,0.016107797622680664,2025-09-20T17:41:01.654567,single
single_pessimistic,success,200,0.023997068405151367,2025-09-20T17:41:01.780199,single
single_pessimistic,success,200,0.019908905029296875,2025-09-20T17:41:01.901703,single
single_pessimistic,success,200,0.017524003982543945,2025-09-20T17:41:02.020478,single
single_pessimistic,success,200,0.019707679748535156,2025-09-20T17:41:02.140960,single
single_pessimistic,stock_failure,400,0.010052204132080078,2025-09-20T17:41:02.252640,single
single_pessimistic,stock_failure,400,0.009063243865966797,2025-09-20T17:41:02.376366,single
single_pessimistic,stock_failure,400,0.011811971664428711,2025-09-20T17:41:02.494741,single
single_pessimistic,payment_failure,400,0.017393112182617188,2025-09-20T17:41:02.623839,single
single_pessimistic,payment_failure,400,0.01660633087158203,2025-09-20T17:41:02.754801,single
single_pessimistic,success,200,0.04716300964355469,2025-09-20T17:48:35.487273,single
single_pessimistic,success,200,0.019284963607788086,2025-09-20T17:48:35.607841,single
single_pessimistic,success,200,0.01919102668762207,2025-09-20T17:48:35.728380,single
single_pessimistic,success,200,0.019139766693115234,2025-09-20T17:48:35.849054,single
single_pessimistic,success,200,0.018849611282348633,2025-09-20T17:48:35.968927,single
single_pessimistic,success,200,0.04032182693481445,2025-09-20T17:48:36.110541,single
single_pessimistic,success,200,0.014304161071777344,2025-09-20T17:48:36.225672,single
single_pessimistic,success,200,0.019118785858154297,2025-09-20T17:48:36.345487,single
single_pessimistic,success,200,0.016269207000732422,2025-09-20T17:48:36.462987,single
single_pessimistic,success,200,0.01872992515563965,2025-09-20T17:48:36.583114,single
single_pessimistic,success,200,0.017711162567138672,2025-09-20T17:48:36.702109,single
single_pessimistic,success,200,0.01846909523010254,2025-09-20T17:48:36.822087,single
single_pessimistic,success,200,0.020766019821166992,2025-09-20T17:48:36.944148,single
single_pessimistic,success,200,0.019693851470947266,2025-09-20T17:48:37.065370,single
single_pessimistic,success,200,0.01931595802307129,2025-09-20T17:48:37.185574,single
