saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-6b4e203e,order-6b4e203e,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:15.075310,2025-09-20 06:58:15.075310,0.0
order-6b597726,order-6b597726,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:40.875653,2025-09-20 06:57:40.875653,0.0
order-6b599c16,order-6b599c16,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:26.746769,2025-09-20 06:55:26.746769,0.0
order-6b5ab312,order-6b5ab312,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:48.354706,2025-09-20 06:56:48.354706,0.0
order-6b5fc614,order-6b5fc614,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:42.333262,2025-09-20 06:55:42.333262,0.0
order-6b60e8cf,order-6b60e8cf,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:35.839859,2025-09-20 06:55:35.839859,0.0
order-6b64cfc5,order-6b64cfc5,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:56.697153,2025-09-20 06:57:56.697153,0.0
order-6b6ff306,order-6b6ff306,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:43.300704,2025-09-20 06:58:43.300704,0.0
order-6b71af85,order-6b71af85,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:59:01.021955,2025-09-20 06:59:01.021955,0.0
order-6b7a2801,order-6b7a2801,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:45.946524,2025-09-20 06:58:45.946524,0.0
order-6b7d5377,order-6b7d5377,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:38.846304,2025-09-20 06:56:38.846304,0.0
order-6b7e519a,order-6b7e519a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:36.724964,2025-09-20 06:56:36.724964,0.0
order-6b811ff6,order-6b811ff6,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:36.027348,2025-09-20 06:58:36.027348,0.0
order-6b84bc5b,order-6b84bc5b,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:55.772242,2025-09-20 06:56:55.772242,0.0
order-6b85fc9f,order-6b85fc9f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:37.748920,2025-09-20 06:58:37.748920,0.0
order-6b8fe23e,order-6b8fe23e,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:13.129728,2025-09-20 06:54:13.129728,0.0
order-6b98d9b9,order-6b98d9b9,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:20.580134,2025-09-20 06:58:20.580134,0.0
order-6b998f0d,order-6b998f0d,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:21.235281,2025-09-20 06:54:21.235281,0.0
order-6b9e9176,order-6b9e9176,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:51.004654,2025-09-20 06:57:51.004654,0.0
order-6ba43e3a,order-6ba43e3a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:08.921410,2025-09-20 06:57:08.921410,0.0
order-6ba44f4a,order-6ba44f4a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:52.132411,2025-09-20 06:58:52.132411,0.0
order-6ba7e048,order-6ba7e048,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:58.591397,2025-09-20 06:58:58.591397,0.0
order-6baaaa43,order-6baaaa43,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:21.798752,2025-09-20 06:56:21.798752,0.0
order-6baab3b4,order-6baab3b4,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:14.073797,2025-09-20 06:56:14.073797,0.0
order-6bad1668,order-6bad1668,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:26.828709,2025-09-20 06:58:26.828709,0.0
order-6bb2e172,order-6bb2e172,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:15.668490,2025-09-20 06:57:15.668490,0.0
order-6bb31398,order-6bb31398,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:43.441452,2025-09-20 06:54:43.441452,0.0
order-6bb45832,order-6bb45832,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:03.965057,2025-09-20 06:58:03.965057,0.0
order-6bb64f90,order-6bb64f90,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:43.725029,2025-09-20 06:57:43.725029,0.0
order-6bbcf6f6,order-6bbcf6f6,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:57.252354,2025-09-20 06:58:57.252354,0.0
order-6bbeb820,order-6bbeb820,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:47.030003,2025-09-20 06:58:47.030003,0.0
order-6bc5770d,order-6bc5770d,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:35.352573,2025-09-20 06:58:35.352573,0.0
order-6bca0491,order-6bca0491,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:34.961855,2025-09-20 06:58:34.961855,0.0
order-6bcc1352,order-6bcc1352,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:02.377017,2025-09-20 06:56:02.377017,0.0
order-6bcc3e64,order-6bcc3e64,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:48.389093,2025-09-20 06:56:48.389093,0.0
order-6bccde9c,order-6bccde9c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:42.856758,2025-09-20 06:56:42.856758,0.0
order-6bd573f7,order-6bd573f7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:18.807831,2025-09-20 06:58:18.807831,0.0
order-6be827a3,order-6be827a3,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:12.976940,2025-09-20 06:58:12.976940,0.0
order-6be950f4,order-6be950f4,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:36.782932,2025-09-20 06:57:36.782932,0.0
order-6bf56c26,order-6bf56c26,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:15.295001,2025-09-20 06:58:15.295001,0.0
order-6bf7ab72,order-6bf7ab72,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:58.943948,2025-09-20 06:54:58.943948,0.0
order-6c091430,order-6c091430,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:04.404744,2025-09-20 06:56:04.404744,0.0
order-6c0d5eca,order-6c0d5eca,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:23.384767,2025-09-20 06:58:23.384767,0.0
order-6c11197c,order-6c11197c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:05.680867,2025-09-20 06:56:05.680867,0.0
order-6c1706b9,order-6c1706b9,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:51.290212,2025-09-20 06:58:51.290212,0.0
order-6c1ca1a2,order-6c1ca1a2,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:40.253212,2025-09-20 06:55:40.253212,0.0
order-6c1d2e15,order-6c1d2e15,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:37.865241,2025-09-20 06:57:37.865241,0.0
order-6c2c01b2,order-6c2c01b2,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:46.224591,2025-09-20 06:57:46.224591,0.0
order-6c2c4d2f,order-6c2c4d2f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:37.290702,2025-09-20 06:57:37.290702,0.0
order-6c3167c3,order-6c3167c3,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:47.293252,2025-09-20 06:57:47.293252,0.0
order-6c329c50,order-6c329c50,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:30.048008,2025-09-20 06:58:30.048008,0.0
order-6c3943fa,order-6c3943fa,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:13.615286,2025-09-20 06:58:13.615286,0.0
order-6c3b1bec,order-6c3b1bec,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:04.289667,2025-09-20 06:57:04.289667,0.0
order-6c3d5990,order-6c3d5990,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:46.712679,2025-09-20 06:58:46.712679,0.0
order-6c40df9c,order-6c40df9c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:30.134742,2025-09-20 06:56:30.134742,0.0
order-6c4a7201,order-6c4a7201,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:21.991835,2025-09-20 06:58:21.991835,0.0
order-6c5e3b1a,order-6c5e3b1a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:23.595649,2025-09-20 06:54:23.595649,0.0
order-6c602c6c,order-6c602c6c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:49.098101,2025-09-20 06:54:49.098101,0.0
order-6c61373a,order-6c61373a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:03.341215,2025-09-20 06:54:03.341215,0.0
order-6c63a01d,order-6c63a01d,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:23.116901,2025-09-20 06:58:23.116901,0.0
order-6c7ab783,order-6c7ab783,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:13.116659,2025-09-20 06:58:13.116659,0.0
order-6c7fbb5a,order-6c7fbb5a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:38.450239,2025-09-20 06:57:38.450239,0.0
order-6c8b0d3f,order-6c8b0d3f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:12.123185,2025-09-20 06:58:12.123185,0.0
order-6c8f0f68,order-6c8f0f68,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:53.556404,2025-09-20 06:58:53.556404,0.0
order-6c923bf8,order-6c923bf8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:10.303076,2025-09-20 06:57:10.303076,0.0
order-6c9d5a63,order-6c9d5a63,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:52.999133,2025-09-20 06:58:52.999133,0.0
order-6c9e196d,order-6c9e196d,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:21.680411,2025-09-20 06:56:21.680411,0.0
order-6ca088c2,order-6ca088c2,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:24.117150,2025-09-20 06:58:24.117150,0.0
order-6ca1aaf0,order-6ca1aaf0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:29.502000,2025-09-20 06:56:29.502000,0.0
order-6ca7c262,order-6ca7c262,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:17.208775,2025-09-20 06:56:17.208775,0.0
order-6cadbc8f,order-6cadbc8f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:35.325831,2025-09-20 06:56:35.325831,0.0
order-6cb60ad7,order-6cb60ad7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:44.890307,2025-09-20 06:57:44.890307,0.0
order-6cc0ef3c,order-6cc0ef3c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:39.093182,2025-09-20 06:55:39.093182,0.0
order-6cc464af,order-6cc464af,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:33.089885,2025-09-20 06:55:33.089885,0.0
order-6cc7e2ef,order-6cc7e2ef,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:31.016044,2025-09-20 06:58:31.016044,0.0
order-6ccd58a5,order-6ccd58a5,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:54.226664,2025-09-20 06:58:54.226664,0.0
order-6cdb1646,order-6cdb1646,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:13.933739,2025-09-20 06:57:13.933739,0.0
order-6cdf4b13,order-6cdf4b13,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:31.224125,2025-09-20 06:56:31.224125,0.0
order-6ce8d68e,order-6ce8d68e,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:54.632720,2025-09-20 06:58:54.632720,0.0
order-6cef1121,order-6cef1121,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:39.995914,2025-09-20 06:56:39.995914,0.0
order-6cf1c08d,order-6cf1c08d,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:35.378772,2025-09-20 06:58:35.378772,0.0
order-6cf35bfa,order-6cf35bfa,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:07.980171,2025-09-20 06:58:07.980171,0.0
order-6cfd6e35,order-6cfd6e35,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:55.195684,2025-09-20 06:57:55.195684,0.0
order-6d04a01a,order-6d04a01a,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:59.020869,2025-09-20 06:55:59.020869,0.0
order-6d0ca2d8,order-6d0ca2d8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:49.677950,2025-09-20 06:57:49.677950,0.0
